PosX;PosY;Rank;Temperature;Heat-Flux
0;0;0;302.448;0
0.0125;0;0;302.787;0
0.025;0;0;302.954;0
0.0375;0;0;303.102;0
0.05;0;0;303.205;0
0.0625;0;0;303.313;0
0.075;0;0;303.397;0
0.0875;0;0;303.467;0
0.1;0;0;303.522;0
0.1125;0;0;303.583;0
0.125;0;0;303.628;0
0.1375;0;0;303.674;0
0.15;0;0;303.718;0
0.1625;0;0;303.763;0
0.175;0;0;303.796;0
0.1875;0;0;303.829;0
0.2;0;0;303.864;0
0.2125;0;0;303.889;0
0.225;0;0;303.914;0
0.2375;0;0;303.938;0
0.25;0;0;303.961;0
0.2625;0;0;303.986;0
0.275;0;0;304.005;0
0.2875;0;0;304.022;0
0.3;0;0;304.035;0
0.3125;0;0;304.05;0
0.325;0;0;304.063;0
0.3375;0;0;304.074;0
0.35;0;0;304.083;0
0.3625;0;0;304.09;0
0.375;0;0;304.098;0
0.3875;0;0;304.106;0
0.4;0;0;304.113;0
0.4125;0;0;304.118;0
0.425;0;0;304.122;0
0.4375;0;0;304.126;0
0.45;0;0;304.13;0
0.4625;0;0;304.134;0
0.475;0;0;304.137;0
0.4875;0;0;304.139;0
0.5;0;0;304.141;0
0.5125;0;0;304.142;0
0.525;0;0;304.143;0
0.5375;0;0;304.143;0
0.55;0;0;304.143;0
0.5625;0;0;304.143;0
0.575;0;0;304.142;0
0.5875;0;0;304.14;0
0.6;0;0;304.139;0
0.6125;0;0;304.136;0
0.625;0;0;304.134;0
0.6375;0;0;304.13;0
0.65;0;0;304.126;0
0.6625;0;0;304.121;0
0.675;0;0;304.116;0
0.6875;0;0;304.11;0
0.7;0;0;304.103;0
0.7125;0;0;304.095;0
0.725;0;0;304.087;0
0.7375;0;0;304.078;0
0.75;0;0;304.068;0
0.7625;0;0;304.054;0
0.775;0;0;304.04;0
0.7875;0;0;304.024;0
0.8;0;0;304.008;0
0.8125;0;0;303.99;0
0.825;0;0;303.966;0
0.8375;0;0;303.94;0
0.85;0;0;303.912;0
0.8625;0;0;303.882;0
0.875;0;0;303.851;0
0.8875;0;0;303.806;0
0.9;0;0;303.759;0
0.9125;0;0;303.708;0
0.925;0;0;303.651;0
0.9375;0;0;303.59;0
0.95;0;0;303.498;0
0.9625;0;0;303.398;0
0.975;0;0;303.277;0
0.9875;0;0;303.115;0
1;0;0;302.833;0
